frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
12851	819.304955000	-46.4668	66.8882	78.18	1323462.31128992	-4342417.21359218	4471717.64061941
12927	819.488387000	-46.4613	66.8738	78.1894	1323453.79280085	-4342404.95179172	4471731.9741474
13158	820.038627000	-46.4631	66.8772	78.1916	1323428.23714705	-4342368.16559023	4471774.97413976
13201	820.155400000	-46.4651	66.887	78.176	1323422.8162599	-4342360.36239724	4471784.09524314
13415	820.705650000	-46.4668	66.8903	78.1782	1323397.26059646	-4342323.57562829	4471827.09474432
13493	820.905750000	-46.4668	66.8906	78.1779	1323387.96765366	-4342310.19858644	4471842.73089342
13589	821.105878000	-46.4631	66.8788	78.1902	1323378.6747098	-4342296.82148269	4471858.36698894
13669	821.305955000	-46.4668	66.8913	78.1774	1323369.38170327	-4342283.44411486	4471874.00282128
13744	821.506053000	-46.4668	66.8916	78.1771	1323360.08875732	-4342270.0668873	4471889.63880963
13838	821.722814000	-46.4651	66.8894	78.1739	1323350.02139199	-4342255.57477444	4471906.57764224
14077	822.306441000	-46.4632	66.8807	78.1886	1323322.91690139	-4342216.55715583	4471952.18201758
14144	822.489864000	-46.4651	66.8906	78.1728	1323314.39833628	-4342204.294302	4471966.51459917
14397	823.073493000	-46.4669	66.894	78.175	1323287.29383395	-4342165.27599127	4472012.11837538
14482	823.290272000	-46.4651	66.8918	78.1718	1323277.22645973	-4342150.78335308	4472029.05675325
14713	823.857204000	-46.4615	66.8806	78.1836	1323250.89639347	-4342112.87924081	4472073.35700557
14943	824.424153000	-46.4652	66.8936	78.1702	1323224.56625721	-4342074.97442942	4472117.6566181
15201	825.007774000	-46.4669	66.897	78.1724	1323197.46172538	-4342035.95437335	4472163.25888344
15285	825.207869000	-46.4632	66.8852	78.1847	1323188.16876004	-4342022.57600056	4472178.89388043
15352	825.357974000	-46.4652	66.895	78.169	1323181.19898827	-4342012.5419991	4472190.61985896
15584	825.908219000	-46.4633	66.8863	78.1838	1323155.64331155	-4341975.75100616	4472233.61573827
15648	826.058312000	-46.4652	66.8961	78.1681	1323148.67353704	-4341965.71684221	4472245.34157612
15872	826.625239000	-46.4652	66.897	78.1673	1323122.34342981	-4341927.81030368	4472289.63972807
16111	827.208855000	-46.4633	66.8883	78.182	1323095.23886447	-4341888.78826157	4472335.24027408
16176	827.358937000	-46.4652	66.8981	78.1663	1323088.26908487	-4341878.75379585	4472346.96585068
16420	827.942547000	-46.467	66.9015	78.1685	1323061.16450838	-4341839.73109175	4472392.56582356
16487	828.109320000	-46.467	66.9018	78.1683	1323053.42033738	-4341828.58162809	4472405.59426658
16567	828.326121000	-46.4653	66.8996	78.165	1323043.35293469	-4341814.08730221	4472422.53118339
16800	828.859685000	-46.4653	66.9004	78.1643	1323018.57160429	-4341778.40863167	4472464.22187997
17039	829.426623000	-46.4616	66.8892	78.1761	1322992.24145572	-4341740.49963772	4472508.51790614
17271	829.976888000	-46.4671	66.9047	78.1657	1322966.68565911	-4341703.70498132	4472551.5105792
17342	830.160336000	-46.4653	66.9025	78.1626	1322958.16705732	-4341691.43995233	4472565.84127769
17568	830.710583000	-46.4634	66.8937	78.1773	1322932.61131183	-4341654.64487391	4472608.83361998
17626	830.844020000	-46.4671	66.906	78.1646	1322926.41594086	-4341645.72465471	4472619.25579927
17717	831.077431000	-46.4671	66.9064	78.1643	1322915.57407136	-4341630.11430599	4472637.49466053
17799	831.277520000	-46.4671	66.9067	78.164	1322906.28107443	-4341616.73405553	4472653.12803191
17875	831.460955000	-46.4654	66.9045	78.1608	1322897.76246645	-4341604.46865773	4472667.45841108
18122	832.044568000	-46.4671	66.9079	78.163	1322870.65782779	-4341565.44225251	4472713.05517954
18199	832.244683000	-46.4671	66.9082	78.1627	1322861.36482584	-4341552.06170288	4472728.68829188
18276	832.428132000	-46.4654	66.906	78.1595	1322852.84621327	-4341539.79603084	4472743.01843359
18484	832.961691000	-46.4654	66.9068	78.1588	1322828.06482608	-4341504.11397648	4472784.70620037
18727	833.545311000	-46.4671	66.9102	78.161	1322800.96016472	-4341465.08621725	4472830.30179642
18805	833.728739000	-46.4654	66.908	78.1578	1322792.44154598	-4341452.82017639	4472844.63161879
19041	834.312361000	-46.4672	66.9114	78.1599	1322765.33687306	-4341413.7917251	4472890.22661561
19114	834.512457000	-46.4672	66.9117	78.1597	1322756.04385937	-4341400.41047396	4472905.85912053
19205	834.712556000	-46.4635	66.8999	78.172	1322746.75084466	-4341387.02916091	4472921.49157185
19259	834.829336000	-46.4654	66.9097	78.1563	1322741.32991291	-4341379.22331993	4472930.61038272
19465	835.346208000	-46.4672	66.913	78.1586	1322717.32285524	-4341344.65425774	4472970.99363136
19557	835.562981000	-46.4655	66.9108	78.1553	1322707.2554119	-4341330.15750663	4472987.92844828
19785	836.146610000	-46.4672	66.9142	78.1575	1322680.15071134	-4341291.12740046	4473033.5220121
19873	836.346726000	-46.4672	66.9145	78.1572	1322670.85768818	-4341277.74558194	4473049.1540257
19965	836.580143000	-46.4672	66.9149	78.1569	1322660.01578546	-4341262.13324735	4473067.39116739
20043	836.780236000	-46.4672	66.9152	78.1566	1322650.72276006	-4341248.75129471	4473083.02306486
20120	836.963664000	-46.4655	66.913	78.1535	1322642.204126	-4341236.4843366	4473097.35209292
20365	837.563961000	-46.4618	66.9018	78.1652	1322614.32504078	-4341196.33793711	4473144.24731634
20583	838.114226000	-46.4636	66.9051	78.1674	1322588.76912841	-4341159.53635852	4473187.23399546
20657	838.280976000	-46.4673	66.9175	78.1546	1322581.02491354	-4341148.38427281	4473200.26016808
20734	838.464419000	-46.4655	66.9153	78.1515	1322572.50627239	-4341136.11688916	4473214.58882764
20953	839.031345000	-46.4619	66.904	78.1633	1322546.17598306	-4341098.19947718	4473258.87756462
21202	839.598301000	-46.4656	66.9171	78.1499	1322519.84562389	-4341060.28136621	4473303.16566163
21433	840.148925000	-46.4673	66.9204	78.1521	1322494.28968275	-4341023.47805716	4473346.15084214
21438	840.165241000	-46.4619	66.9058	78.1618	1322493.51531804	-4341022.36296048	4473347.45353801
21664	840.732191000	-46.4656	66.9188	78.1484	1322467.18494236	-4340984.44385578	4473391.74077441
21907	841.315813000	-46.4674	66.9222	78.1506	1322440.08016421	-4340945.40908603	4473437.33029952
21976	841.499249000	-46.4619	66.9079	78.16	1322431.56157035	-4340933.141044	4473451.65842353
22204	842.066138000	-46.4656	66.9209	78.1466	1322405.23117528	-4340895.22077021	4473495.94464741
22453	842.699830000	-46.4619	66.9097	78.1584	1322375.80312763	-4340852.83886621	4473545.44067871
22684	843.250098000	-46.4674	66.9252	78.148	1322350.24714273	-4340816.03291898	4473588.42357435
22764	843.450209000	-46.4637	66.9134	78.1603	1322340.95408307	-4340802.64890322	4473604.05368508
22834	843.616961000	-46.4637	66.9137	78.1601	1322333.20984537	-4340791.49544212	4473617.0786665
22920	843.800365000	-46.4657	66.9235	78.1443	1322324.69117913	-4340779.22654555	4473631.40601575
23159	844.383989000	-46.4674	66.927	78.1465	1322297.58635512	-4340740.18900786	4473676.99314353
23247	844.584086000	-46.4637	66.9151	78.1588	1322288.29328965	-4340726.80464139	4473692.62295048
23299	844.750834000	-46.4637	66.9154	78.1585	1322280.54904713	-4340715.65088802	4473705.64767877
23383	844.934262000	-46.4657	66.9253	78.1428	1322272.03037557	-4340703.38166997	4473719.97474955
23620	845.534564000	-46.4657	66.9262	78.142	1322244.1511061	-4340663.22767218	4473766.86335766
23852	846.118152000	-46.4675	66.9296	78.1441	1322217.04625625	-4340624.18857004	4473812.44913037
